areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01
All Downtown,Manhattan,submarket,900000,849500,990000,992793,917500,800000,1125000,992500,951811.5,995000,839999,941881,997000,818000,977520,850000,855330,834977,982500,880000,845000,840500,835000,915000,900000,830000,940000,975000,950000,962250,961250,1029450,849813,850250,825000,975000,847500,845000,1095000,992500,961123,910621,1043706,867500,950000,950000,1030000,1155000,1245000,995315.5,975000,947500,1062168,1210000,1160805,1045000,1077630.5,1154000,1325000,1250000,1445915,1075000,1094618,1100000,1138000,1250000,1395000,1099000,1357500,1527364,1450000,1660000,1745000,1400000,1227500,1475000,1495000,1400000,1504658,1297000,1550000,1250000,1280000,1390000,1425275,1498000,1578287,1700000,1357500,1745000,1430714.5,1362500,1155000,1202500,1300000,1338125,1317500,1579500,1420000,1337500,1375000,1337500,1504668,1525641.5,1325000,1150000,1410000,1318430,1350000,1410000,1350000,1523641.5,1537469,2287500,1252500,1360207,1385000,1350000,1364429,1489500,1395000,1191250,1113500,1432963,1354300,998000,1260000,1155000,1525000,1140000,1587500,1315750,1390000,1362500,1425000,1420000,1480847.5,1597561,1550000,1309180,1450000,1625000,1382500,1492500,1550000,1577500,1600000,1629600,1472500,1625000,1406724.5,1400178,1417554,1335000,1450000,1374818.5,1388840,1265000,1485000,1345208.5,1414699,1550000,1525000,1400000,1412766,1230133,1361250,1575000,1440000,1375000,1380000,1449000,1485000,1500000,1459250,1308750,1600000,1500000,1630000,1650000,1570068
All Midtown,Manhattan,submarket,685000,637500,600000,687500,732626.5,598000,748500,751752.5,711756.5,735000,745000,750000,700000,715000,585000,760000,763687,733250,711387.5,752250,718933,641748.5,575000,705000,765000,670000,640000,772500,710000,728500,815000,650000,660000,773870,680000,800250,692500,725550.5,660931,702500,845000,779000,777000,766500,755000,723250,711000,785000,717750,727500,690222,735000,750000,752000,722500,725000,740000,765000,800500,855000,870256,800000,950998.5,880000,864000,815000,895000,817500,977500,867000,1149989,975000,1125000,860000,940000,827500,980000,889000,815000,802500,877659,899000,799500,925000,930000,940000,882000,950000,1000000,965000,1230000,892500,899500,786500,985000,860000,853000,942000,960000,865000,856038.5,850000,870000,850000,845000,890000,957000,939000,926608,951500,1020000,913500,995000,945000,866500,835000,825000,860000,855000,990000,904000,1150000,875000,805000,810000,782500,840000,791250,830000,740000,785000,855000,719000,750000,828750,812500,780000,880000,859000,925000,850000,875000,881500,934250,872500,900000,850000,975000,918000,850000,867500,875000,780000,792500,1030000,880000,797500,812500,905000,933750,950000,935000,885877,835000,883500,836250,860000,1200000,805000,799000,966250,870000,800000,882500,943750,808000,900000,825000,839000,855000,808000
All Upper East Side,Manhattan,submarket,1004500,831421,995000,875000,1200000,827391,993750,977500,852500,832500,847436.5,927500,927500,760000,1162000,935000,840000,1050000,985000,937500,870000,847000,862500,740000,925000,840507.5,1057500,915000,825000,1100000,970000,955000,849500,835000,825000,975000,761513,840000,900000,898458,875000,972500,940000,869500,900000,832500,1080000,1300000,1230000,1035000,850000,946400,972500,950000,1150000,917876,1012000,999125,925000,1022250,1125000,895000,1187500,1075000,1070000,1220904,1082500,991351,940000,1137500,1070000,997000,950000,1505000,1144508,1212500,1200000,1222500,1137500,916425,999000,1176078,1150000,891500,1100000,880000,1200000,985361,1012000,1340000,1155000,1207500,1228065,1165000,940000,1289294.5,1175000,1022000,1260000,1215000,1171639,1100000,1160805,1047500,1200000,1275000,1100000,1125000,875000,1210000,1145000,1137385,1108000,2076500,948500,1187162.5,973000,1025000,957500,955000,1150000,1013500,970000,1300000,925000,1050000,1300000,945000,1050000,925000,925000,1075000,930000,1099000,1107500,1020000,1130000,1275000,1250000,1150000,999450,1100000,1062500,1155000,1355000,981500,1217500,1425000,1200000,1150000,1235000,1120000,1250000,997000,1100000,1225000,1215000,1350000,1195000,1250000,1260000,1075000,1100000,1200000,1162500,1282500,1220000,1200000,937500,886275,981500,1112500,1512101,1205000,1207000,1107500,1320000,1224500,1217500,1024500,1375000
All Upper Manhattan,Manhattan,submarket,366022,393496,350139.5,334620,338750,415740,433000,403000,469500,438263.5,410000,435000,452290.5,400000,445000,335000,418500,455000,430000,444500,450000,427755,412750,298800,412500,429000,414330.5,385000,457514.5,459213,520000,435000,390000,435000,531250,460000,415000,407500,440000,473505,470000,460424.5,440000,412698,425000,402500,430000,385000,375000,405000,497367,439750,451625,480000,534024,470000,475600,528105.5,525000,505000,567564,499000,570220,523345,510000,500408,552000,510000,498000,562500,503000,524653.5,575000,539881,423155,545000,570000,622500,568022.5,607975,600000,610000,604250,625000,613018,637500,577500,567500,620000,572500,585493,667000,665000,575311,620000,607500,625000,547500,582500,646250,580000,704213.5,645000,712500,650000,620000,607500,540000,623250,552500,730000,555000,715000,675000,609375,590000,587500,573750,706387,695000,699000,695000,630000,597000,577000,593130,571000,704500,635000,585292,590000,685000,701250,585000,687500,625000,615000,710000,686500,690000,627000,650000,625000,735000,640000,781000,775901,709975,737000,723000,640000,682500,685000,599000,496860,457500,543000,659000,645000,465000,667500,534790.5,625000,607300,575000,622250,539750,547500,810000,552000,640000,602500,615000,600000,597374.5,637500,675000,565000,605000,650000,589000
All Upper West Side,Manhattan,submarket,860421,875000,747250,803603.5,900000,765000,985000,977500,825000,945000,955000,975000,861250,825341.5,802500,810000,830000,949986,901605,970000,982500,990000,999000,780000,785000,1050000,880000,900000,848750,975000,952415,880000,900000,865512,950000,968750,818000,815000,930000,930000,855854,955000,999000,980000,970000,910000,989500,925000,1010000,925000,935000,1085000,932500,1050000,961558,987250,1130000,887500,925000,952750,947500,1110000,788250,925000,1052000,1245000,1146265.5,1147265.5,1280000,1250460,1371068.5,1266250,1055000,995000,1123000,972339,1100000,1025000,1190000,1225000,938825,1009040.5,1139773.5,1305000,1180000,1100000,975000,1139000,1250000,1300000,1237500,1175000,1590000,1369696.5,1580000,1400000,973468.5,1250000,1250000,1480000,1348888,985000,1205000,1220000,1088500,1075000,999000,1156501,1075000,1100000,1272500,1375000,1300000,1500000,935000,999000,1086000,977500,975000,1147765.5,1100000,1497500,1643750,1875000,1300000,1490000,1185721.5,1250000,1062500,1312500,1302502.5,1175000,1175000,902500,1060000,1055000,1090000,1333500,1325000,792500,1150000,1200000,1200000,1412500,1557500,1175000,1325000,1202500,1167500,1275000,1260000,1260000,1318750,1120000,985000,998960,1097441.5,1185950,1017500,1116500,1250000,1405000,1160000,1135000,1092500,1135265.5,1200000,1050000,1039398.5,1180000,1041750,1400000,1260000,1300000,1295000,1162500,1190000,1052500,1199500,1100000,1105000
Astoria,Queens,neighborhood,402000,605237.5,380000,415000,392660,400000,380000,555018.5,425880,362500,337300,465000,525000,360000,364500,385000,345000,382333,592500,560000,499000,485353,347500,439949,383830,486720,410670,454500,400500,495000,449000,476580,495000,591500,342000,537000,365500,441500,505000,536000,538000,456300,385320,540000,600000,495000,437022.5,447500,537500,550000,522500,544763,437500,570000,537750,580000,577500,612500,578000,532035.5,787500,402293,582750,495000,433992,538000,700000,725000,620000,611650,550000,589566,630000,676000,501000,674081,461480,520750,750000,567500,635000,845147,763279.5,500000,925000,550000,697500,702208.5,800000,705000,800000,700000,649750,578000,590000,605858,959000,725000,566683,707304.5,700977.5,744585,580000,850000,682500,799000,785000,625000,700000,694500,631000,726736,985000,987000,815240,935500,789278.5,925000,1100000,826509,847500,936250,876967.5,865512,635000,787000,835000,599000,670000,739000,1095000,789500,859000,815000,824500,675000,1087500,850000,825000,787500,887500,994500,999000,930000,837730,742500,844848,830250,754500,936776,883500,620000,810000,1049000,994500,952500,950000,1150000,870325,645000,875000,909500,825000,813168,713500,950500,845028,610000,1075000,900000,645000,965000,981122.5,877500,950000,787500,750475.5,1100000,842832.5,1017231,919250
Auburndale,Queens,neighborhood,670000,520000,,549250,575000,533250,554250,639500,546000,565000,500000,545000,610000,550000,625000,,522000,520000,515000,525000,515000,570000,,,575000,479000,590000,540000,600000,555000,587500,527500,605000,580000,500000,487000,593500,598000,527000,530000,570000,537500,495000,630500,600000,650000,670000,550000,710000,720000,680000,640000,655000,658000,650000,635500,673000,680000,635500,610000,648500,560000,635000,615000,662500,520000,634000,685000,715000,785500,830000,661500,670000,,699000,712000,738000,740500,650000,768750,750000,805000,760000,795000,864000,810000,744000,720000,837500,800000,835000,912500,765000,847785,785500,861500,765000,897500,835000,878000,865000,839500,760000,880000,919444,790000,888000,775000,780000,650000,805000,864000,742500,708233,860000,900000,858000,807500,770000,804500,820000,885000,,890000,,815000,,,767000,818000,756000,855000,785000,793500,770000,802000,850000,848000,885000,870000,982999,880000,930000,895000,920000,998500,960000,802500,760000,912500,940000,1053000,990000,910000,982500,910000,915000,,,960000,831000,841900,996000,970000,850000,940000,860000,950000,889000,961500,1043000,875000,970000,950000,989000,915000,870000,950000,885000,1100000,
Bath Beach,Brooklyn,neighborhood,660000,353000,498888,305000,,537500,,,645000,,,377208,590000,,550000,600000,,511000,540000,547500,480000,510000,,,,599400,,,675250,530000,567500,648000,622000,,592290.5,610000,,,486720,600000,520000,586000,398220,524750,591500,600000,690000,580000,700000,552655.5,532336,,790000,545000,760000,,505000,745000,724500,551250,825000,850000,505073.5,732500,1090000,335000,,659000,750000,750000,781000,625000,992000,877000,788000,752500,525000,580906,,,944000,785000,,995000,724000,604000,1105000,788000,826819,,,,819500,,950000,900000,500000,,,882500,957500,665000,933500,1039000,855000,499902,501930,1175000,707500,680000,,,618220,990000,1125000,,720500,,784052,858000,1082500,735000,922500,,,,1000000,860000,,,,970000,,,1109500,760000,431150,980000,950000,999000,857500,710000,999000,780000,875000,726000,890000,1277500,949000,852500,1052500,1112500,744500,1050000,,,1085000,,,1175000,,960000,1270000,1005000,,930500,490000,912500,992000,,1220000,,980000,824500,715000,,,,,1180000,
Battery Park City,Manhattan,neighborhood,,502650,763000,2031917,1476462.5,,,1165000,1247356,1400000,,1580000,853130.5,,1225000,495895,625000,727500,936790,575000,911333,1545899,585110,,750000,902000,770500,650748.5,1056579,760000,1150767.5,1125000,675000,681609,791241,700000,804417,766570,656771,834965,785000,670000,770000,759617,939988,680000,753774,595000,1300000,860285.5,998750,1482500,774000,937500,770000,990000,,770000,990000,756000,862500,,712500,655000,1125000,840000,1792120,860256,2038615,2325000,1762500,2253168,2315000,990000,1989837.5,2199419.5,1200000,777000,1818000,1705000,1135050,980000,890000,790000,1067500,1049490,891000,,1640000,1105000,1355000,1088000,955000,834000,1435000,1650000,1085000,,1009125,920000,975000,1375000,1494500,744999.5,,917945,,,,1505772,602500,1247500,,,,,1325000,1187500,1080748,1970000,,,800000,,,,,,,,,747500,775000,987500,,885000,1535000,1065000,1470000,1510000,1870000,900000,,849500,1385000,964000,1505000,999999,1236289,1002500,885000,1214975,1394800,1225880,1245000,1466250,1465000,1687500,1400000,1277700,850000,1455000,1229019.5,905112,1414779.5,965000,1180000,895449,1320000,1456097,1250000,1360000,1190000,1325000,965000,965000,1344500,,,1038500,
Bay Ridge,Brooklyn,neighborhood,480000,377500,270732.5,624500,260000,287500,355000,397500,572473,645000,412500,582500,455000,400000,376000,368000,400000,402500,400940,415740,533500,478725,400000,256250,245000,587625,290000,412500,470000,599000,466361.5,592500,410000,370000,712500,291893,383000,307500,280000,253000,459224,302500,510000,733800,395000,435000,333922,270000,700000,410000,478500,425000,470000,325000,335000,375000,487422,389000,454000,437238,580000,309000,685000,357166.5,422500,331250,378500,390500,465000,379500,360000,524500,424000,595000,635000,462500,502000,582500,352500,557500,525500,500000,525000,465000,735000,472283,637500,482500,480000,495000,515000,455000,565000,663776,424500,627000,945000,597500,560000,544900,527500,860000,704203.5,677136,550750,968300,620000,925000,597500,387833.5,910000,539672,459000,530000,602500,850000,637000,650000,417500,695000,621750,529000,975000,549333,498500,618203,505000,445250,991000,825000,540000,550000,675000,1015704,820000,473000,717750,602500,980000,488500,989995,600000,968500,1156000,850000,592500,940000,636406,648500,765000,1049500,599500,650000,625000,635000,833946,993433,378000,700000,962500,560000,686500,1272500,646000,762500,450000,349000,998000,549500,446686.5,487500,998000,625000,480000,660000,1111000,1050000,675000,553750,740000,
